Rpl13a-ps1
Rpl21-ps1
Rpl23a-ps1
Rpl23a-ps6
Rpl35a-ps4
Rpl37-ps1
Rpl7a-ps4
Rpl10
Rpl10-ps1
Rpl10-ps2
Rpl10-ps3
Rpl10-ps4
Rpl10-ps5
Rpl10-ps6
Rpl10a
Rpl10a-ps1
Rpl10a-ps2
Rpl10a-ps3
Rpl10a-ps4
Rpl10l
Rpl11
Rpl12
Rpl12-ps1
Rpl13
Rpl13-ps1
Rpl13-ps2
Rpl13-ps3
Rpl13-ps4
Rpl13-ps5
Rpl13-ps6
Rpl13a
Rpl14
Rpl14-ps1
Rpl15
Rpl15-ps1
Rpl15-ps2
Rpl15-ps3
Rpl15-ps5
Rpl15-ps6
Rpl17
Rpl17-ps1
Rpl17-ps10
Rpl17-ps11
Rpl17-ps2
Rpl17-ps3
Rpl17-ps4
Rpl17-ps5
Rpl17-ps6
Rpl17-ps7
Rpl17-ps8
Rpl17-ps9
Rpl18
Rpl18-ps1
Rpl18-ps2
Rpl18a
Rpl18a-ps1
Rpl18a-ps2
Rpl18a-ps3
Rpl18a-ps4
Rpl19
Rpl19-ps1
Rpl19-ps10
Rpl19-ps11
Rpl19-ps12
Rpl19-ps2
Rpl19-ps3
Rpl19-ps4
Rpl19-ps5
Rpl19-ps6
Rpl19-ps7
Rpl19-ps8
Rpl19-ps9
Rpl21
Rpl21-ps10
Rpl21-ps11
Rpl21-ps12
Rpl21-ps14
Rpl21-ps15
Rpl21-ps2
Rpl21-ps3
Rpl21-ps4
Rpl21-ps5
Rpl21-ps6
Rpl21-ps7
Rpl21-ps8
Rpl21-ps9
Rpl21-ps13
Rpl22
Rpl22l1
Rpl22-ps1
Rpl23
Rpl23a
Rpl23a-ps10
Rpl23a-ps11
Rpl23a-ps12
Rpl23a-ps13
Rpl23a-ps2
Rpl23a-ps3
Rpl23a-ps4
Rpl23a-ps5
Rpl23a-ps7
Rpl23a-ps8
Rpl23a-ps9
Rpl24
Rpl26
Rpl26-ps1
Rpl26-ps2
Rpl26-ps3
Rpl26-ps4
Rpl26-ps5
Rpl26-ps6
Rpl27
LOC108167922
Rpl27-ps1
Rpl27-ps2
Rpl27-ps3
Rpl27a
Rpl27a-ps1
Rpl27a-ps2
Rpl27a-ps3
Rpl27a-ps4
Rpl28
Rpl28-ps1
Rpl28-ps2
Rpl28-ps3
Rpl28-ps4
Rpl29
Rpl29-ps1
Rpl29-ps2
Rpl29-ps4
Rpl29-ps5
Rpl29-ps6
Rpl27rt
Rpl3
Rpl3-ps1
Rpl3-ps2
Rpl30
Rpl30-ps1
Rpl30-ps10
Rpl30-ps11
Rpl30-ps2
Rpl30-ps3
Rpl30-ps5
Rpl30-ps6
Rpl30-ps7
Rpl30-ps8
Rpl30-ps9
Rpl31
Rpl31-ps1
Rpl31-ps12
Rpl31-ps10
Rpl31-ps11
Rpl31-ps13
Rpl31-ps14
Rpl31-ps15
Rpl31-ps16
Rpl31-ps17
Rpl31-ps18
Rp31-ps19
Rpl31-ps2
Rpl31-ps20
Rpl31-ps21
Rpl31-ps22
Rpl31-ps23
Rpl31-ps24
Rpl31-ps3
Rpl31-ps4
Rpl31-ps5
Rpl31-ps6
Rpl31-ps7
Rpl31-ps8
Rpl31-ps9
Rpl31-ps25
Rpl32
Rpl32-ps
Rpl32l
Rpl34
Rpl34-ps1
Rpl34-ps2
Rpl35
Rpl35-ps1
Rpl35rt
Rpl35a
Rpl35a-ps2
Rpl35a-ps3
Rpl35a-ps5
Rpl35a-ps6
Rpl35a-ps7
Rpl36
Rpl36-ps1
Rpl36-ps10
Rpl36-ps12
Rpl36-ps2
Rpl36-ps3
Rpl36-ps4
Rpl36-ps6
Rpl36-ps7
Rpl36-ps8
Rpl36-ps9
Rpl36a
Rpl36a-ps1
Rpl36a-ps2
Rpl36a-ps3
Rpl36al
Rpl37
Rpl37rt
Rpl37a
Rpl37a-ps2
Rpl38
Rpl38-ps1
Rpl38-ps2
Rpl39
Rpl39-ps
Rpl39l
Rpl3l
Rpl4
Rpl41
Rpl48-ps1
Rpl5
Rpl5-ps1
Rpl6
Rpl6l
Rpl7
Rpl7-ps7
Rpl7-ps8
Rpl7-ps9
Rpl7a
Rpl7a-ps1
Rpl7a-ps10
Rpl7a-ps11
Rpl7a-ps12
Rpl7a-ps13
Rpl7a-ps14
